campaign_id,date,spend,impressions,clicks,conversions,revenue
G-BRAND-001,2025-07-14,147.68,5630,124,14,1032.31
G-PERF-002,2025-07-14,256.9,2131,115,3,253.54
G-DISCO-003,2025-07-14,72.55,5235,117,2,107.47
G-BRAND-001,2025-07-15,111.91,2643,101,7,538.23
G-PERF-002,2025-07-15,259.54,2154,105,3,234.26
G-DISCO-003,2025-07-15,102.75,4197,175,4,148.12
G-BRAND-001,2025-07-16,131.05,2014,109,6,461.88
G-PERF-002,2025-07-16,168.01,1369,60,2,151.99
G-DISCO-003,2025-07-16,68.8,4288,128,2,94.3
G-BRAND-001,2025-07-17,121.15,2517,103,11,630.42
G-PERF-002,2025-07-17,231.62,2372,85,4,312.8
G-DISCO-003,2025-07-17,76.65,5982,137,2,107.94
G-BRAND-001,2025-07-18,155.77,3961,113,7,533.85
G-PERF-002,2025-07-18,248.09,3162,110,3,289.04
G-DISCO-003,2025-07-18,92.14,2655,158,3,108.42
G-BRAND-001,2025-07-19,101.52,1697,79,9,499.42
G-PERF-002,2025-07-19,120.08,996,42,1,88.56
G-DISCO-003,2025-07-19,64.89,2160,98,1,44.79
G-BRAND-001,2025-07-20,105.22,4052,96,7,414.36
G-PERF-002,2025-07-20,112.25,1055,48,1,93.2
G-DISCO-003,2025-07-20,60.25,4807,98,1,51.9
G-BRAND-001,2025-07-21,150.24,2360,126,11,614.35
G-PERF-002,2025-07-21,172.74,1161,65,3,291.79
G-DISCO-003,2025-07-21,99.96,5069,152,2,100.08
G-BRAND-001,2025-07-22,149.05,2676,120,7,533.24
G-PERF-002,2025-07-22,246.46,2136,112,6,413.06
G-DISCO-003,2025-07-22,93.46,2568,147,3,154.66
G-BRAND-001,2025-07-23,144.64,2174,112,6,448.06
G-PERF-002,2025-07-23,245.86,1708,90,3,235.13
G-DISCO-003,2025-07-23,95.81,6970,146,2,83.82
G-BRAND-001,2025-07-24,147.86,4492,140,13,811.09
G-PERF-002,2025-07-24,258.11,1806,104,2,201.99
G-DISCO-003,2025-07-24,71.14,4409,135,1,43.82
G-BRAND-001,2025-07-25,139.71,2463,109,9,558.14
G-PERF-002,2025-07-25,217.66,1654,80,1,99.47
G-DISCO-003,2025-07-25,85.54,3039,151,3,127.67
G-BRAND-001,2025-07-26,70.14,1836,61,4,296.19
G-PERF-002,2025-07-26,162.38,1884,61,2,163.36
G-DISCO-003,2025-07-26,53.08,2118,78,2,96.38
G-BRAND-001,2025-07-27,105.12,2809,90,7,364.07
G-PERF-002,2025-07-27,132.08,1180,51,2,167.62
G-DISCO-003,2025-07-27,57.18,2234,87,2,100.66
G-BRAND-001,2025-07-28,106.18,1895,77,7,425.0
G-PERF-002,2025-07-28,241.84,2216,104,3,224.31
G-DISCO-003,2025-07-28,64.98,2563,100,2,74.62
G-BRAND-001,2025-07-29,120.87,3744,104,10,648.54
G-PERF-002,2025-07-29,184.4,3807,77,3,282.54
G-DISCO-003,2025-07-29,68.26,4105,111,3,135.97
G-BRAND-001,2025-07-30,99.01,1409,76,6,437.02
G-PERF-002,2025-07-30,226.76,2350,103,5,491.54
G-DISCO-003,2025-07-30,88.51,3906,157,4,183.45
G-BRAND-001,2025-07-31,149.83,3411,133,8,467.43
G-PERF-002,2025-07-31,223.77,2349,96,4,309.35
G-DISCO-003,2025-07-31,67.1,3369,104,1,45.72
G-BRAND-001,2025-08-01,104.3,1654,79,7,375.69
G-PERF-002,2025-08-01,200.76,2211,81,2,164.57
G-DISCO-003,2025-08-01,100.19,3575,171,4,199.12
G-BRAND-001,2025-08-02,83.18,1731,59,6,445.14
G-PERF-002,2025-08-02,178.74,1382,69,3,265.53
G-DISCO-003,2025-08-02,50.98,2056,77,0,0.0
G-BRAND-001,2025-08-03,95.72,2894,77,6,331.91
G-PERF-002,2025-08-03,155.56,1482,53,2,137.84
G-DISCO-003,2025-08-03,62.8,2417,93,1,42.82
G-BRAND-001,2025-08-04,108.7,1684,85,6,429.31
G-PERF-002,2025-08-04,243.19,3866,90,2,172.68
G-DISCO-003,2025-08-04,104.0,3586,165,4,190.93
G-BRAND-001,2025-08-05,141.25,4754,133,6,335.77
G-PERF-002,2025-08-05,172.62,1691,72,2,183.56
G-DISCO-003,2025-08-05,94.68,3206,142,3,114.18
G-BRAND-001,2025-08-06,145.16,5632,137,6,360.67
G-PERF-002,2025-08-06,227.73,2871,103,5,352.92
G-DISCO-003,2025-08-06,91.62,6562,158,4,205.22
G-BRAND-001,2025-08-07,132.02,1634,97,10,610.27
G-PERF-002,2025-08-07,202.84,1913,77,2,193.77
G-DISCO-003,2025-08-07,96.89,2430,142,3,152.75
G-BRAND-001,2025-08-08,138.44,2289,113,13,767.29
G-PERF-002,2025-08-08,240.82,2465,97,3,278.56
G-DISCO-003,2025-08-08,74.74,2573,137,1,51.87
G-BRAND-001,2025-08-09,77.44,1418,63,4,210.98
G-PERF-002,2025-08-09,171.57,2176,62,3,238.71
G-DISCO-003,2025-08-09,69.45,3929,122,1,53.07
G-BRAND-001,2025-08-10,70.8,1567,62,6,419.74
G-PERF-002,2025-08-10,157.21,1198,62,1,75.53
G-DISCO-003,2025-08-10,64.17,2311,100,2,91.11
G-BRAND-001,2025-08-11,121.53,3249,108,10,590.44
G-PERF-002,2025-08-11,185.14,2346,65,1,86.22
G-DISCO-003,2025-08-11,94.49,4955,142,2,98.09
G-BRAND-001,2025-08-12,154.6,4118,129,7,399.33
G-PERF-002,2025-08-12,182.75,3209,66,2,154.65
G-DISCO-003,2025-08-12,102.97,3632,174,2,103.26
G-BRAND-001,2025-08-13,125.45,2700,116,9,571.07
G-PERF-002,2025-08-13,178.44,1058,61,2,191.9
G-DISCO-003,2025-08-13,80.03,2567,116,1,38.69
G-BRAND-001,2025-08-14,129.77,1690,101,5,359.38
G-PERF-002,2025-08-14,220.63,3272,95,4,333.27
G-DISCO-003,2025-08-14,81.71,2516,150,2,94.36
G-BRAND-001,2025-08-15,132.58,2037,118,7,402.41
G-PERF-002,2025-08-15,226.04,3005,81,2,136.18
G-DISCO-003,2025-08-15,82.02,4423,140,2,97.45
G-BRAND-001,2025-08-16,96.73,1663,79,9,652.35
G-PERF-002,2025-08-16,155.75,1133,65,2,173.03
G-DISCO-003,2025-08-16,62.93,2204,117,1,38.99
G-BRAND-001,2025-08-17,80.12,1660,71,4,220.93
G-PERF-002,2025-08-17,160.21,1161,67,2,169.58
G-DISCO-003,2025-08-17,47.05,1797,67,1,40.51
G-BRAND-001,2025-08-18,101.48,1796,96,8,613.76
G-PERF-002,2025-08-18,259.96,3541,109,2,187.43
G-DISCO-003,2025-08-18,82.82,2542,144,2,93.07
G-BRAND-001,2025-08-19,134.09,4693,111,8,485.33
G-PERF-002,2025-08-19,227.01,3012,100,4,311.2
G-DISCO-003,2025-08-19,101.81,4404,185,3,124.98
G-BRAND-001,2025-08-20,115.4,3013,109,9,699.22
G-PERF-002,2025-08-20,225.77,2491,91,2,160.6
G-DISCO-003,2025-08-20,94.26,3234,163,2,91.77
G-BRAND-001,2025-08-21,151.66,2587,124,7,541.11
G-PERF-002,2025-08-21,220.89,3075,81,3,260.33
G-DISCO-003,2025-08-21,67.73,2282,129,2,76.23
G-BRAND-001,2025-08-22,145.93,2486,121,10,591.09
G-PERF-002,2025-08-22,243.47,3731,111,4,324.17
G-DISCO-003,2025-08-22,100.87,3044,168,4,163.89
G-BRAND-001,2025-08-23,100.38,1411,81,6,440.01
G-PERF-002,2025-08-23,131.8,1127,49,2,169.3
G-DISCO-003,2025-08-23,48.96,2425,82,1,45.78
G-BRAND-001,2025-08-24,86.32,2468,68,6,401.2
G-PERF-002,2025-08-24,128.35,2529,55,2,183.96
G-DISCO-003,2025-08-24,67.52,2320,108,2,107.31
G-BRAND-001,2025-08-25,125.72,2244,90,8,596.9
G-PERF-002,2025-08-25,247.42,2363,97,3,277.69
G-DISCO-003,2025-08-25,80.4,5348,140,2,106.89
G-BRAND-001,2025-08-26,116.31,2217,102,11,815.77
G-PERF-002,2025-08-26,245.93,2877,94,4,375.28
G-DISCO-003,2025-08-26,98.9,6201,141,3,157.73
G-BRAND-001,2025-08-27,155.85,3720,139,7,479.34
G-PERF-002,2025-08-27,247.26,2030,97,5,347.82
G-DISCO-003,2025-08-27,95.85,4257,149,2,91.12
G-BRAND-001,2025-08-28,129.96,4365,117,6,447.85
G-PERF-002,2025-08-28,221.97,1433,81,2,167.36
G-DISCO-003,2025-08-28,74.16,5594,114,3,156.67
G-BRAND-001,2025-08-29,136.66,2707,102,7,470.94
G-PERF-002,2025-08-29,223.89,2899,87,4,299.09
G-DISCO-003,2025-08-29,79.39,4442,131,2,92.69
G-BRAND-001,2025-08-30,108.89,1437,85,8,473.09
G-PERF-002,2025-08-30,151.62,1285,64,1,88.62
G-DISCO-003,2025-08-30,58.71,3466,109,2,93.85
G-BRAND-001,2025-08-31,82.0,1583,71,6,424.46
G-PERF-002,2025-08-31,158.14,1528,69,3,269.93
G-DISCO-003,2025-08-31,53.45,2014,87,2,75.24
G-BRAND-001,2025-09-01,113.71,3737,101,5,330.12
G-PERF-002,2025-09-01,257.15,1821,103,5,383.68
G-DISCO-003,2025-09-01,96.99,3061,160,4,168.39
G-BRAND-001,2025-09-02,102.91,3784,97,11,818.0
G-PERF-002,2025-09-02,232.42,1806,106,5,402.18
G-DISCO-003,2025-09-02,95.63,3280,136,2,96.22
G-BRAND-001,2025-09-03,136.34,2192,116,13,712.62
G-PERF-002,2025-09-03,183.38,1119,62,2,198.24
G-DISCO-003,2025-09-03,72.85,1982,105,2,82.88
G-BRAND-001,2025-09-04,120.5,1538,89,6,388.85
G-PERF-002,2025-09-04,169.72,2949,75,3,272.39
G-DISCO-003,2025-09-04,93.73,4814,177,4,155.13
G-BRAND-001,2025-09-05,120.89,2223,88,6,460.44
G-PERF-002,2025-09-05,163.27,1643,62,3,291.26
G-DISCO-003,2025-09-05,67.97,2848,119,3,127.37
G-BRAND-001,2025-09-06,83.92,2531,63,6,382.94
G-PERF-002,2025-09-06,158.39,1503,66,1,94.75
G-DISCO-003,2025-09-06,51.62,1784,76,1,49.77
G-BRAND-001,2025-09-07,75.9,1040,57,4,223.35
G-PERF-002,2025-09-07,175.04,1085,59,1,72.42
G-DISCO-003,2025-09-07,51.82,1657,77,0,0.0
G-BRAND-001,2025-09-08,143.4,3338,110,6,320.17
G-PERF-002,2025-09-08,234.17,1886,94,3,283.36
G-DISCO-003,2025-09-08,84.53,3088,124,3,110.34
G-BRAND-001,2025-09-09,142.99,3230,132,10,770.65
G-PERF-002,2025-09-09,166.08,1830,66,3,254.01
G-DISCO-003,2025-09-09,100.39,6241,145,3,111.55
G-BRAND-001,2025-09-10,112.5,2313,97,6,467.16
G-PERF-002,2025-09-10,213.06,1899,84,2,183.72
G-DISCO-003,2025-09-10,98.11,3349,170,4,159.48
G-BRAND-001,2025-09-11,123.09,2801,94,7,439.71
G-PERF-002,2025-09-11,169.51,1416,66,2,146.38
G-DISCO-003,2025-09-11,100.92,2740,146,1,37.74
G-BRAND-001,2025-09-12,140.33,3005,127,11,732.61
G-PERF-002,2025-09-12,192.96,1991,68,3,280.53
G-DISCO-003,2025-09-12,98.72,2979,175,3,126.99
G-BRAND-001,2025-09-13,91.47,1491,69,4,219.25
G-PERF-002,2025-09-13,171.18,1287,65,2,190.89
G-DISCO-003,2025-09-13,68.46,2465,130,2,95.14
G-BRAND-001,2025-09-14,68.3,1203,64,4,226.76
G-PERF-002,2025-09-14,161.19,1786,60,1,97.58
G-DISCO-003,2025-09-14,60.66,3816,98,2,73.1
G-BRAND-001,2025-09-15,140.77,2908,107,7,431.35
G-PERF-002,2025-09-15,232.16,2341,100,2,139.58
G-DISCO-003,2025-09-15,70.3,2576,121,2,95.83
G-BRAND-001,2025-09-16,125.14,3298,102,10,549.59
G-PERF-002,2025-09-16,202.99,1591,75,3,272.05
G-DISCO-003,2025-09-16,65.82,2410,106,1,41.43
G-BRAND-001,2025-09-17,108.67,2647,80,5,261.0
G-PERF-002,2025-09-17,234.7,2385,84,4,340.04
G-DISCO-003,2025-09-17,97.33,7734,177,4,147.05
G-BRAND-001,2025-09-18,97.12,1670,91,8,535.27
G-PERF-002,2025-09-18,230.95,3657,90,2,158.08
G-DISCO-003,2025-09-18,96.05,3096,165,4,150.35
G-BRAND-001,2025-09-19,146.67,2571,112,9,560.61
G-PERF-002,2025-09-19,191.03,2160,72,2,170.71
G-DISCO-003,2025-09-19,68.56,2027,114,2,98.19
G-BRAND-001,2025-09-20,101.6,3123,92,5,285.65
G-PERF-002,2025-09-20,154.17,1427,66,2,188.55
G-DISCO-003,2025-09-20,58.64,2083,105,2,105.27
G-BRAND-001,2025-09-21,90.91,1734,78,8,546.46
G-PERF-002,2025-09-21,122.57,1114,42,1,77.34
G-DISCO-003,2025-09-21,46.37,2375,77,1,37.02
G-BRAND-001,2025-09-22,145.9,1942,106,11,747.89
G-PERF-002,2025-09-22,210.71,1968,83,4,393.84
G-DISCO-003,2025-09-22,81.99,3233,149,2,89.12
G-BRAND-001,2025-09-23,105.05,3148,76,8,487.44
G-PERF-002,2025-09-23,231.43,3419,92,3,248.65
G-DISCO-003,2025-09-23,81.58,5161,136,2,82.18
G-BRAND-001,2025-09-24,120.53,2163,95,9,619.47
G-PERF-002,2025-09-24,166.59,1230,58,1,92.61
G-DISCO-003,2025-09-24,90.26,3058,168,3,139.47
G-BRAND-001,2025-09-25,104.49,1413,83,8,497.53
G-PERF-002,2025-09-25,219.5,3057,99,3,284.75
G-DISCO-003,2025-09-25,96.53,3179,169,4,193.35
G-BRAND-001,2025-09-26,127.58,2978,110,8,491.42
G-PERF-002,2025-09-26,178.03,1122,65,2,151.4
G-DISCO-003,2025-09-26,69.5,1878,101,1,49.88
G-BRAND-001,2025-09-27,102.28,4416,95,6,431.54
G-PERF-002,2025-09-27,121.17,1736,46,2,188.43
G-DISCO-003,2025-09-27,67.45,2692,101,1,48.17
G-BRAND-001,2025-09-28,77.18,2006,63,6,382.03
G-PERF-002,2025-09-28,149.38,1069,56,2,192.79
G-DISCO-003,2025-09-28,55.1,1751,104,2,82.14
G-BRAND-001,2025-09-29,118.91,1687,99,10,728.33
G-PERF-002,2025-09-29,173.84,1402,64,3,260.56
G-DISCO-003,2025-09-29,68.1,2312,125,2,99.47
G-BRAND-001,2025-09-30,112.37,4055,105,8,612.85
G-PERF-002,2025-09-30,182.2,2089,71,1,69.81
G-DISCO-003,2025-09-30,84.08,2157,129,2,73.01
G-BRAND-001,2025-10-01,151.85,3021,139,14,778.09
G-PERF-002,2025-10-01,188.69,1713,82,2,183.98
G-DISCO-003,2025-10-01,81.94,5006,116,1,51.03
G-BRAND-001,2025-10-02,128.93,2772,114,6,356.94
G-PERF-002,2025-10-02,190.12,1766,65,3,250.63
G-DISCO-003,2025-10-02,68.43,2894,127,1,45.28
G-BRAND-001,2025-10-03,110.52,2206,82,7,407.78
G-PERF-002,2025-10-03,201.66,3585,84,4,281.2
G-DISCO-003,2025-10-03,85.04,2385,142,3,129.08
G-BRAND-001,2025-10-04,86.95,1266,75,4,209.69
G-PERF-002,2025-10-04,167.2,1277,63,2,188.46
G-DISCO-003,2025-10-04,65.39,4730,103,2,101.29
G-BRAND-001,2025-10-05,74.55,1736,67,6,410.55
G-PERF-002,2025-10-05,168.8,1136,58,2,155.95
G-DISCO-003,2025-10-05,46.03,3183,69,1,45.28
G-BRAND-001,2025-10-06,155.35,4347,131,13,740.59
G-PERF-002,2025-10-06,195.7,1537,84,3,216.7
G-DISCO-003,2025-10-06,78.72,2935,146,4,171.84
G-BRAND-001,2025-10-07,154.42,3207,128,14,917.02
G-PERF-002,2025-10-07,240.11,4404,102,4,383.84
G-DISCO-003,2025-10-07,85.82,5818,135,3,124.55
G-BRAND-001,2025-10-08,132.16,2248,107,7,371.71
G-PERF-002,2025-10-08,247.0,1568,94,3,303.96
G-DISCO-003,2025-10-08,101.92,3252,148,2,100.84
G-BRAND-001,2025-10-09,136.76,5017,129,11,795.46
G-PERF-002,2025-10-09,163.48,1095,56,2,162.03
G-DISCO-003,2025-10-09,86.69,3159,149,4,170.78
G-BRAND-001,2025-10-10,141.79,2914,120,9,620.0
G-PERF-002,2025-10-10,184.96,1315,65,2,162.32
G-DISCO-003,2025-10-10,86.47,4373,133,2,107.87
G-BRAND-001,2025-10-11,79.19,1866,74,4,296.69
G-PERF-002,2025-10-11,143.64,1692,64,1,91.19
G-DISCO-003,2025-10-11,68.47,3156,107,1,45.76
G-BRAND-001,2025-10-12,104.64,1980,96,11,754.38
G-PERF-002,2025-10-12,167.56,2695,67,2,145.44
G-DISCO-003,2025-10-12,66.93,2253,95,1,50.47
G-BRAND-001,2025-10-13,129.1,4733,111,7,545.93
G-PERF-002,2025-10-13,231.89,1831,93,4,282.03
G-DISCO-003,2025-10-13,102.9,4684,178,4,168.81
G-BRAND-001,2025-10-14,148.68,2939,134,8,616.98
G-PERF-002,2025-10-14,203.26,4096,91,2,146.41
G-DISCO-003,2025-10-14,70.59,2294,111,2,105.87
G-BRAND-001,2025-10-15,149.7,4562,137,12,795.86
G-PERF-002,2025-10-15,172.52,1548,64,2,147.47
G-DISCO-003,2025-10-15,101.66,3257,151,3,140.68
G-BRAND-001,2025-10-16,146.55,2339,124,6,319.09
G-PERF-002,2025-10-16,224.15,1976,91,4,328.66
G-DISCO-003,2025-10-16,89.56,3304,149,2,106.44
G-BRAND-001,2025-10-17,124.98,2383,113,7,377.28
G-PERF-002,2025-10-17,165.99,1651,65,2,177.25
G-DISCO-003,2025-10-17,76.5,2734,135,3,160.67
G-BRAND-001,2025-10-18,72.69,1365,58,4,256.51
G-PERF-002,2025-10-18,130.72,2010,48,1,81.06
G-DISCO-003,2025-10-18,62.03,1739,95,1,41.89
G-BRAND-001,2025-10-19,91.46,1405,71,5,326.91
G-PERF-002,2025-10-19,146.91,2628,55,3,255.56
G-DISCO-003,2025-10-19,71.87,3195,109,1,44.91
G-BRAND-001,2025-10-20,148.94,3322,129,11,814.29
G-PERF-002,2025-10-20,203.09,1832,90,4,321.77
G-DISCO-003,2025-10-20,80.02,4894,136,2,74.65
G-BRAND-001,2025-10-21,126.26,3623,113,13,905.97
G-PERF-002,2025-10-21,171.88,2181,78,4,318.12
G-DISCO-003,2025-10-21,101.56,6508,182,3,135.0
G-BRAND-001,2025-10-22,98.72,2190,73,5,319.41
G-PERF-002,2025-10-22,220.63,2657,88,4,294.1
G-DISCO-003,2025-10-22,103.62,5786,185,3,152.73
G-BRAND-001,2025-10-23,127.94,3532,113,12,738.93
G-PERF-002,2025-10-23,227.38,2399,104,5,463.31
G-DISCO-003,2025-10-23,91.52,3334,130,3,150.28
G-BRAND-001,2025-10-24,142.57,2476,121,10,564.33
G-PERF-002,2025-10-24,222.9,1714,92,2,182.29
G-DISCO-003,2025-10-24,65.26,5041,123,1,41.65
G-BRAND-001,2025-10-25,73.56,1757,64,6,455.6
G-PERF-002,2025-10-25,173.1,3290,74,2,150.1
G-DISCO-003,2025-10-25,53.9,2291,94,1,39.12
G-BRAND-001,2025-10-26,105.51,2428,83,8,565.95
G-PERF-002,2025-10-26,157.03,1486,66,2,152.76
G-DISCO-003,2025-10-26,60.43,1561,92,1,41.2
G-BRAND-001,2025-10-27,108.44,2906,95,6,457.66
G-PERF-002,2025-10-27,239.54,3577,89,4,323.64
G-DISCO-003,2025-10-27,103.21,3231,188,4,164.91
G-BRAND-001,2025-10-28,113.26,2953,100,7,410.67
G-PERF-002,2025-10-28,207.91,1805,75,4,366.68
G-DISCO-003,2025-10-28,69.49,2737,119,1,48.06
G-BRAND-001,2025-10-29,127.86,4977,110,8,565.21
G-PERF-002,2025-10-29,170.05,3612,73,3,298.77
G-DISCO-003,2025-10-29,80.28,2738,151,3,118.77
G-BRAND-001,2025-10-30,153.83,2639,121,13,706.24
G-PERF-002,2025-10-30,217.41,1778,87,5,495.25
G-DISCO-003,2025-10-30,71.0,4846,131,3,161.85
G-BRAND-001,2025-10-31,119.82,1722,99,11,836.85
G-PERF-002,2025-10-31,247.67,1966,84,2,202.84
G-DISCO-003,2025-10-31,75.38,3450,144,3,158.68
G-BRAND-001,2025-11-01,102.94,3031,84,4,224.9
G-PERF-002,2025-11-01,144.12,1930,53,2,189.77
G-DISCO-003,2025-11-01,60.7,3997,108,2,104.29
G-BRAND-001,2025-11-02,101.93,3621,85,8,454.43
G-PERF-002,2025-11-02,121.84,1537,46,1,76.01
G-DISCO-003,2025-11-02,65.91,3865,124,3,108.62
G-BRAND-001,2025-11-03,135.22,5292,119,6,359.86
G-PERF-002,2025-11-03,200.54,1433,80,3,235.72
G-DISCO-003,2025-11-03,68.7,4024,128,2,79.89
G-BRAND-001,2025-11-04,104.01,1542,77,7,439.68
G-PERF-002,2025-11-04,214.92,2048,85,4,301.7
G-DISCO-003,2025-11-04,73.9,2403,132,1,44.04
G-BRAND-001,2025-11-05,138.23,2349,100,5,331.19
G-PERF-002,2025-11-05,210.55,3308,86,3,257.07
G-DISCO-003,2025-11-05,68.65,2400,104,1,45.19
G-BRAND-001,2025-11-06,144.52,2911,118,9,481.51
G-PERF-002,2025-11-06,206.24,1839,90,3,287.28
G-DISCO-003,2025-11-06,93.83,7335,160,2,74.3
G-BRAND-001,2025-11-07,155.65,6414,146,16,845.2
G-PERF-002,2025-11-07,200.89,1698,86,5,449.8
G-DISCO-003,2025-11-07,80.81,4362,154,4,209.29
G-BRAND-001,2025-11-08,82.98,1549,72,6,413.95
G-PERF-002,2025-11-08,136.34,1180,49,2,185.49
G-DISCO-003,2025-11-08,51.04,3443,72,1,48.12
G-BRAND-001,2025-11-09,90.07,1416,75,4,244.0
G-PERF-002,2025-11-09,131.3,1204,59,1,95.52
G-DISCO-003,2025-11-09,56.54,1824,101,1,39.71
G-BRAND-001,2025-11-10,102.05,1662,73,7,372.86
G-PERF-002,2025-11-10,234.05,3063,90,2,194.73
G-DISCO-003,2025-11-10,66.26,3484,110,2,98.33
G-BRAND-001,2025-11-11,115.13,2089,98,6,359.08
G-PERF-002,2025-11-11,174.33,2531,73,2,140.15
G-DISCO-003,2025-11-11,101.94,3347,189,4,174.76
G-BRAND-001,2025-11-12,125.74,2063,119,11,796.74
G-PERF-002,2025-11-12,191.87,2849,74,2,187.3
G-DISCO-003,2025-11-12,82.94,4745,152,3,151.51
G-BRAND-001,2025-11-13,150.88,2180,128,11,610.35
G-PERF-002,2025-11-13,184.29,1460,67,3,290.41
G-DISCO-003,2025-11-13,67.7,4344,120,2,96.25
G-BRAND-001,2025-11-14,132.18,4432,122,12,849.98
G-PERF-002,2025-11-14,215.89,1551,85,3,301.62
G-DISCO-003,2025-11-14,64.61,2068,121,1,53.99
G-BRAND-001,2025-11-15,87.31,1516,67,4,303.17
G-PERF-002,2025-11-15,150.65,1845,65,2,160.43
G-DISCO-003,2025-11-15,52.12,2180,87,1,53.66
G-BRAND-001,2025-11-16,86.92,1396,79,5,313.81
G-PERF-002,2025-11-16,151.38,2128,55,1,99.78
G-DISCO-003,2025-11-16,61.02,3793,99,1,42.84
G-BRAND-001,2025-11-17,146.0,2619,121,11,645.6
G-PERF-002,2025-11-17,242.16,2408,110,4,294.88
G-DISCO-003,2025-11-17,95.8,2929,143,2,105.01
G-BRAND-001,2025-11-18,128.53,4966,111,5,370.07
G-PERF-002,2025-11-18,254.52,2095,106,4,386.59
G-DISCO-003,2025-11-18,73.26,6334,129,2,85.44
G-BRAND-001,2025-11-19,133.07,2597,116,9,582.16
G-PERF-002,2025-11-19,160.66,3174,65,2,154.68
G-DISCO-003,2025-11-19,103.1,2779,146,3,151.53
G-BRAND-001,2025-11-20,150.59,4611,110,6,341.94
G-PERF-002,2025-11-20,212.65,3030,93,3,242.05
G-DISCO-003,2025-11-20,80.24,2281,136,2,96.63
G-BRAND-001,2025-11-21,146.87,2356,128,13,707.6
G-PERF-002,2025-11-21,197.93,3596,80,1,73.83
G-DISCO-003,2025-11-21,83.99,2666,137,3,154.33
G-BRAND-001,2025-11-22,71.21,2718,59,3,223.71
G-PERF-002,2025-11-22,174.13,3156,69,1,99.47
G-DISCO-003,2025-11-22,69.98,5535,118,3,124.98
G-BRAND-001,2025-11-23,107.58,1816,91,9,561.2
G-PERF-002,2025-11-23,117.39,1418,42,2,162.46
G-DISCO-003,2025-11-23,69.9,2190,110,1,53.79
G-BRAND-001,2025-11-24,139.45,1967,116,6,380.19
G-PERF-002,2025-11-24,243.87,1812,92,5,407.44
G-DISCO-003,2025-11-24,94.94,4364,135,4,179.32
G-BRAND-001,2025-11-25,117.35,2951,110,10,691.77
G-PERF-002,2025-11-25,168.57,1328,69,3,212.37
G-DISCO-003,2025-11-25,70.17,2733,124,3,125.1
G-BRAND-001,2025-11-26,102.39,2226,72,5,295.07
G-PERF-002,2025-11-26,173.25,1633,62,2,163.75
G-DISCO-003,2025-11-26,65.05,4341,103,2,83.68
G-BRAND-001,2025-11-27,119.11,2618,93,5,377.15
G-PERF-002,2025-11-27,250.52,2658,114,3,242.83
G-DISCO-003,2025-11-27,69.55,2743,109,1,43.82
G-BRAND-001,2025-11-28,121.27,4333,100,6,350.47
G-PERF-002,2025-11-28,222.5,3270,91,2,156.72
G-DISCO-003,2025-11-28,101.95,3593,161,4,167.73
G-BRAND-001,2025-11-29,81.26,1360,74,8,444.31
